sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0.228;95;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;ParsCat@296;ParsCat@297;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
0.182;133;;180rounds;Yes;No;2;0.73828;0.87833;0.00000;0.21194;1.61662;SYAgent@298;ParsCat@299;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
0.688;94;;180rounds;Yes;No;2;0.62833;0.78112;0.19918;0.21514;1.40946;ExampleAgent@300;ParsCat@301;0.6283333333333333;0.7811218958140229;0.6283333333333333;0.7811218958140229;party1_utility.xml;party2_utility.xml
0.132;94;;180rounds;Yes;No;2;0.78500;0.88030;0.02381;0.04826;1.66530;ParsCat@302;SYAgent@303;0.7850000000000001;0.8803024977828533;0.7850000000000001;0.8803024977828533;party1_utility.xml;party2_utility.xml
0.062;95;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;SYAgent@304;SYAgent@305;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.658;96;;180rounds;Yes;No;2;0.78500;0.88030;0.02381;0.04826;1.66530;ExampleAgent@306;SYAgent@307;0.7850000000000001;0.8803024977828533;0.7850000000000001;0.8803024977828533;party1_utility.xml;party2_utility.xml
0.751;94;;180rounds;Yes;No;2;0.36932;0.81333;0.18292;0.55997;1.18265;ParsCat@308;ExampleAgent@309;0.8133333333333334;0.3693170632159402;0.8133333333333334;0.3693170632159402;party1_utility.xml;party2_utility.xml
0.643;95;;180rounds;Yes;No;2;0.53259;0.89083;0.09232;0.40988;1.42342;SYAgent@310;ExampleAgent@311;0.8908333333333334;0.5325864542294909;0.8908333333333334;0.5325864542294909;party1_utility.xml;party2_utility.xml
1.167;93;;180rounds;Yes;No;2;0.43725;0.60917;0.36824;0.52184;1.04641;ExampleAgent@312;ExampleAgent@313;0.6091666666666666;0.4372456059633132;0.6091666666666666;0.4372456059633132;party1_utility.xml;party2_utility.xml
0.233;93;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;ParsCat@314;ParsCat@315;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;party1_utility.xml;party2_utility.xml
0.135;95;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;SYAgent@316;ParsCat@317;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.669;93;;180rounds;Yes;No;2;0.75500;0.78082;0.12016;0.15076;1.53582;ExampleAgent@318;ParsCat@319;0.755;0.7808163216837538;0.755;0.7808163216837538;party1_utility.xml;party2_utility.xml
0.125;96;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;ParsCat@320;SYAgent@321;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
0.071;109;;180rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;SYAgent@322;SYAgent@323;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
0.619;93;;180rounds;Yes;No;2;0.62667;0.85161;0.15173;0.17604;1.47828;ExampleAgent@324;SYAgent@325;0.6266666666666667;0.8516130107848354;0.6266666666666667;0.8516130107848354;party1_utility.xml;party2_utility.xml
0.698;94;;180rounds;Yes;No;2;0.50618;0.78167;0.19368;0.42240;1.28784;ParsCat@326;ExampleAgent@327;0.7816666666666667;0.5061754762260783;0.7816666666666667;0.5061754762260783;party1_utility.xml;party2_utility.xml
0.638;93;;180rounds;Yes;No;2;0.73828;0.87833;0.00000;0.21194;1.61662;SYAgent@328;ExampleAgent@329;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
1.191;93;;180rounds;Yes;No;2;0.64177;0.69500;0.19159;0.30058;1.33677;ExampleAgent@330;ExampleAgent@331;0.695;0.6417720393449236;0.695;0.6417720393449236;party1_utility.xml;party2_utility.xml
