sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
3.251;181;;180rounds;No;No;1;0.00000;0.00000;1.03216;1.17788;0.00000;Caduceus@36;AgentBB@37;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
2.231;167;;180rounds;Yes;No;2;0.75048;0.91246;0.00000;0.05513;1.66294;AgentBB@40;Caduceus@41;0.9124619064965962;0.7504778735349671;0.9124619064965962;0.7504778735349671;party8_utility.xml;party9_utility.xml
0.762;92;;180rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;Caduceus@42;AgentBB@43;1.0;1.0;1.0;1.0;party7_utility.xml;party9_utility.xml
0.851;92;;180rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBB@46;Caduceus@47;1.0;1.0;1.0;1.0;party7_utility.xml;party9_utility.xml
3.458;181;;180rounds;No;No;1;0.00000;0.00000;1.03216;1.17788;0.00000;Caduceus@50;AgentBB@51;0.0;0.0;0.0;0.0;party7_utility.xml;party8_utility.xml
3.409;181;;180rounds;No;No;1;0.00000;0.00000;1.03216;1.17788;0.00000;AgentBB@56;Caduceus@57;0.0;0.0;0.0;0.0;party7_utility.xml;party8_utility.xml
3.849;181;;180rounds;No;No;1;0.00000;0.00000;1.05828;1.23919;0.00000;Caduceus@64;AgentBB@65;0.0;0.0;0.0;0.0;party6_utility.xml;party9_utility.xml
2.190;158;;180rounds;Yes;No;2;0.70166;0.93304;0.01503;0.16733;1.63470;AgentBB@68;Caduceus@69;0.9330423191427484;0.7016559491492296;0.9330423191427484;0.7016559491492296;party6_utility.xml;party9_utility.xml
2.256;166;;180rounds;Yes;No;2;0.44701;1.00000;0.00000;0.55605;1.44701;Caduceus@74;AgentBB@75;0.44701211980628636;0.9999999999999999;0.44701211980628636;0.9999999999999999;party6_utility.xml;party8_utility.xml
1.134;152;;180rounds;Yes;No;2;0.73882;0.95940;0.10318;0.11172;1.69822;AgentBB@76;Caduceus@77;0.9594036732307318;0.7388184494400086;0.9594036732307318;0.7388184494400086;party6_utility.xml;party8_utility.xml
2.780;168;;180rounds;Yes;No;2;0.72350;0.94163;0.00000;0.18333;1.66512;Caduceus@78;AgentBB@79;0.7234950152255328;0.9416274624612428;0.7234950152255328;0.9416274624612428;party6_utility.xml;party7_utility.xml
1.318;154;;180rounds;Yes;No;2;0.70166;0.94808;0.00000;0.17188;1.64973;AgentBB@84;Caduceus@85;0.9480762575522829;0.7016559491492296;0.9480762575522829;0.7016559491492296;party6_utility.xml;party7_utility.xml
1.214;153;;180rounds;Yes;No;2;0.76392;0.93135;0.05724;0.14755;1.69527;Caduceus@86;AgentBB@87;0.7639218885724535;0.9313490890995667;0.7639218885724535;0.9313490890995667;party5_utility.xml;party9_utility.xml
1.729;157;;180rounds;Yes;No;2;0.80319;0.90916;0.06486;0.11381;1.71234;AgentBB@88;Caduceus@89;0.9091562315585825;0.8031854029266439;0.9091562315585825;0.8031854029266439;party5_utility.xml;party9_utility.xml
4.155;181;;180rounds;No;No;1;0.00000;0.00000;1.00277;1.22017;0.00000;Caduceus@94;AgentBB@95;0.0;0.0;0.0;0.0;party5_utility.xml;party8_utility.xml
2.257;166;;180rounds;Yes;No;2;0.60690;0.98459;0.00000;0.15763;1.59149;AgentBB@102;Caduceus@103;0.9845877336359191;0.6068989520285213;0.9845877336359191;0.6068989520285213;party5_utility.xml;party8_utility.xml
1.453;152;;180rounds;Yes;No;2;0.75891;0.90570;0.07724;0.15228;1.66461;Caduceus@106;AgentBB@107;0.7589092893710487;0.9056970543000167;0.7589092893710487;0.9056970543000167;party5_utility.xml;party7_utility.xml
1.244;153;;180rounds;Yes;No;2;0.82079;0.90846;0.05062;0.09622;1.72924;AgentBB@110;Caduceus@111;0.9084559417679888;0.8207877725577508;0.9084559417679888;0.8207877725577508;party5_utility.xml;party7_utility.xml
1.303;152;;180rounds;Yes;No;2;0.74585;0.97745;0.02256;0.23007;1.72330;Caduceus@112;AgentBB@113;0.7458459772447663;0.9774490923856982;0.7458459772447663;0.9774490923856982;party5_utility.xml;party6_utility.xml
1.531;153;;180rounds;Yes;No;2;0.83423;0.90939;0.04706;0.06231;1.74362;AgentBB@116;Caduceus@117;0.9093896614887803;0.8342292384751213;0.9093896614887803;0.8342292384751213;party5_utility.xml;party6_utility.xml
1.249;153;;180rounds;Yes;No;2;0.85714;0.91683;0.02125;0.13833;1.77397;Caduceus@122;AgentBB@123;0.8571421;0.9168320520496632;0.8571421;0.9168320520496632;party4_utility.xml;party9_utility.xml
1.246;152;;180rounds;Yes;No;2;0.85897;0.90476;0.05436;0.08439;1.76373;AgentBB@124;Caduceus@125;0.9047611;0.8589696479834913;0.9047611;0.8589696479834913;party4_utility.xml;party9_utility.xml
1.343;153;;180rounds;Yes;No;2;0.80952;0.95659;0.00000;0.13745;1.76611;Caduceus@128;AgentBB@129;0.8095230750000002;0.9565892377711768;0.8095230750000002;0.9565892377711768;party4_utility.xml;party8_utility.xml
1.338;154;;180rounds;Yes;No;2;0.82636;0.94048;0.00000;0.05014;1.76683;AgentBB@132;Caduceus@133;0.94047535;0.8263564267160057;0.94047535;0.8263564267160057;party4_utility.xml;party8_utility.xml
1.248;153;;180rounds;Yes;No;2;0.72619;0.94586;0.07210;0.27205;1.67205;Caduceus@138;AgentBB@139;0.7261898500000001;0.9458616496922109;0.7261898500000001;0.9458616496922109;party4_utility.xml;party7_utility.xml
1.675;153;;180rounds;Yes;No;2;0.88520;0.95238;0.00000;0.03798;1.83758;AgentBB@140;Caduceus@141;0.9523801000000001;0.8851958793111833;0.9523801000000001;0.8851958793111833;party4_utility.xml;party7_utility.xml
1.041;152;;180rounds;Yes;No;2;0.73809;0.91084;0.15842;0.15842;1.64893;Caduceus@144;AgentBB@145;0.7380945999999999;0.9108389325212733;0.7380945999999999;0.9108389325212733;party4_utility.xml;party6_utility.xml
1.282;156;;180rounds;Yes;No;2;0.88916;0.95238;0.01408;0.13867;1.84154;AgentBB@148;Caduceus@149;0.9523801000000001;0.8891644616682702;0.9523801000000001;0.8891644616682702;party4_utility.xml;party6_utility.xml
1.168;154;;180rounds;Yes;No;2;0.80952;0.92496;0.00000;0.10020;1.73448;Caduceus@154;AgentBB@155;0.8095231;0.9249601931246548;0.8095231;0.9249601931246548;party4_utility.xml;party5_utility.xml
1.592;154;;180rounds;Yes;No;2;0.77078;0.90476;0.05211;0.12304;1.67554;AgentBB@156;Caduceus@157;0.9047611000000001;0.770783529287745;0.9047611000000001;0.770783529287745;party4_utility.xml;party5_utility.xml
