sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0.682;22;;180rounds;Yes;No;2;0.86869;0.95417;0.00836;0.05041;1.82286;ParsCat@0;Agent116@1;0.9541666666666666;0.8686929586727271;0.9541666666666666;0.8686929586727271;party1_utility.xml;party8_utility.xml
1.149;43;;180rounds;Yes;No;2;0.91246;0.92917;0.00000;0.00000;1.84163;Agent116@2;ParsCat@3;0.9291666666666667;0.9124619064965962;0.9291666666666667;0.9124619064965962;party1_utility.xml;party8_utility.xml
0.359;14;;180rounds;Yes;No;2;0.86941;0.96250;0.00000;0.05445;1.83191;ParsCat@4;Agent116@5;0.9625;0.869409166606301;0.9625;0.869409166606301;party1_utility.xml;party8_utility.xml
0.584;37;;180rounds;Yes;No;2;0.89917;0.91282;0.00000;0.03000;1.81199;Agent116@6;ParsCat@7;0.8991666666666666;0.9128199288351242;0.8991666666666666;0.9128199288351242;party1_utility.xml;party8_utility.xml
0.300;15;;180rounds;Yes;No;2;0.86941;0.96250;0.00000;0.05445;1.83191;ParsCat@8;Agent116@9;0.9625;0.869409166606301;0.9625;0.869409166606301;party1_utility.xml;party8_utility.xml
0.449;22;;180rounds;Yes;No;2;0.86583;0.95587;0.00000;0.07678;1.82171;Agent116@10;ParsCat@11;0.8658333333333332;0.9558726687254194;0.8658333333333332;0.9558726687254194;party1_utility.xml;party8_utility.xml
0.181;12;;180rounds;Yes;No;2;0.86941;0.96250;0.00000;0.05445;1.83191;ParsCat@12;Agent116@13;0.9625;0.869409166606301;0.9625;0.869409166606301;party1_utility.xml;party8_utility.xml
1.280;52;;180rounds;Yes;No;2;0.91246;0.92917;0.00000;0.00000;1.84163;Agent116@14;ParsCat@15;0.9291666666666667;0.9124619064965962;0.9291666666666667;0.9124619064965962;party1_utility.xml;party8_utility.xml
0.536;40;;180rounds;Yes;No;2;0.86941;0.96250;0.00000;0.05445;1.83191;ParsCat@16;Agent116@17;0.9625;0.869409166606301;0.9625;0.869409166606301;party1_utility.xml;party8_utility.xml
0.560;21;;180rounds;Yes;No;2;0.86583;0.95587;0.00000;0.07678;1.82171;Agent116@18;ParsCat@19;0.8658333333333332;0.9558726687254194;0.8658333333333332;0.9558726687254194;party1_utility.xml;party8_utility.xml
0.066;4;;180rounds;Yes;No;2;0.86941;0.96250;0.00000;0.05445;1.83191;ParsCat@20;Agent116@21;0.9625;0.869409166606301;0.9625;0.869409166606301;party1_utility.xml;party8_utility.xml
0.742;30;;180rounds;Yes;No;2;0.86583;0.95587;0.00000;0.07678;1.82171;Agent116@22;ParsCat@23;0.8658333333333332;0.9558726687254194;0.8658333333333332;0.9558726687254194;party1_utility.xml;party8_utility.xml
0.602;47;;180rounds;Yes;No;2;0.91246;0.92917;0.00000;0.00000;1.84163;ParsCat@24;Agent116@25;0.9291666666666667;0.9124619064965962;0.9291666666666667;0.9124619064965962;party1_utility.xml;party8_utility.xml
0.824;37;;180rounds;Yes;No;2;0.89917;0.91282;0.00000;0.03000;1.81199;Agent116@26;ParsCat@27;0.8991666666666666;0.9128199288351242;0.8991666666666666;0.9128199288351242;party1_utility.xml;party8_utility.xml
0.390;23;;180rounds;Yes;No;2;0.86941;0.96250;0.00000;0.05445;1.83191;ParsCat@28;Agent116@29;0.9625;0.869409166606301;0.9625;0.869409166606301;party1_utility.xml;party8_utility.xml
0.591;26;;180rounds;Yes;No;2;0.86583;0.95587;0.00000;0.07678;1.82171;Agent116@30;ParsCat@31;0.8658333333333332;0.9558726687254194;0.8658333333333332;0.9558726687254194;party1_utility.xml;party8_utility.xml
0.436;27;;180rounds;Yes;No;2;0.86941;0.96250;0.00000;0.05445;1.83191;ParsCat@32;Agent116@33;0.9625;0.869409166606301;0.9625;0.869409166606301;party1_utility.xml;party8_utility.xml
0.897;45;;180rounds;Yes;No;2;0.91246;0.92917;0.00000;0.00000;1.84163;Agent116@34;ParsCat@35;0.9291666666666667;0.9124619064965962;0.9291666666666667;0.9124619064965962;party1_utility.xml;party8_utility.xml
0.447;22;;180rounds;Yes;No;2;0.86941;0.96250;0.00000;0.05445;1.83191;ParsCat@36;Agent116@37;0.9625;0.869409166606301;0.9625;0.869409166606301;party1_utility.xml;party8_utility.xml
0.455;21;;180rounds;Yes;No;2;0.86583;0.95587;0.00000;0.07678;1.82171;Agent116@38;ParsCat@39;0.8658333333333332;0.9558726687254194;0.8658333333333332;0.9558726687254194;party1_utility.xml;party8_utility.xml
