sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
5.098;170;;180rounds;Yes;No;2;0.75048;0.91246;0.00000;0.05513;1.66294;Caduceus@0;Caduceus@1;0.9124619064965962;0.7504778735349671;0.9124619064965962;0.7504778735349671;party8_utility.xml;party9_utility.xml
2.130;165;;180rounds;Yes;No;2;0.75048;0.91246;0.00000;0.05513;1.66294;AgentBB@2;Caduceus@3;0.9124619064965962;0.7504778735349671;0.9124619064965962;0.7504778735349671;party8_utility.xml;party9_utility.xml
3.064;181;;180rounds;No;No;1;0.00000;0.00000;1.03216;1.17788;0.00000;Caduceus@4;AgentBB@5;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
0.252;181;;180rounds;No;No;1;0.00000;0.00000;1.03216;1.17788;0.00000;AgentBB@6;AgentBB@7;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
2.445;154;;180rounds;Yes;No;2;0.70557;0.97360;0.00880;0.21287;1.67917;Caduceus@8;Caduceus@9;0.7055694836783316;0.9735964455533398;0.7055694836783316;0.9735964455533398;party5_utility.xml;party9_utility.xml
1.049;152;;180rounds;Yes;No;2;0.88635;0.94006;0.00000;0.04238;1.82642;AgentBB@10;Caduceus@11;0.9400638649001336;0.8863533508769809;0.9400638649001336;0.8863533508769809;party5_utility.xml;party9_utility.xml
0.967;152;;180rounds;Yes;No;2;0.72985;0.95956;0.01760;0.18586;1.68941;Caduceus@12;AgentBB@13;0.7298498018890869;0.9595626424459668;0.7298498018890869;0.9595626424459668;party5_utility.xml;party9_utility.xml
0.164;148;;180rounds;Yes;No;2;0.91030;0.91698;0.00047;0.00047;1.82729;AgentBB@14;AgentBB@15;0.910304087627578;0.9169824756385767;0.910304087627578;0.9169824756385767;party5_utility.xml;party9_utility.xml
2.879;160;;180rounds;Yes;No;2;0.78185;0.86905;0.00000;0.20256;1.65090;Caduceus@16;Caduceus@17;0.7818504333774989;0.8690511442677731;0.7818504333774989;0.8690511442677731;party5_utility.xml;party8_utility.xml
1.383;158;;180rounds;Yes;No;2;0.72243;0.90916;0.04377;0.05901;1.63159;AgentBB@18;Caduceus@19;0.9091562315585825;0.7224310233186106;0.9091562315585825;0.7224310233186106;party5_utility.xml;party8_utility.xml
3.198;181;;180rounds;No;No;1;0.00000;0.00000;1.00277;1.22017;0.00000;Caduceus@20;AgentBB@21;0.0;0.0;0.0;0.0;party5_utility.xml;party8_utility.xml
0.197;181;;180rounds;No;No;1;0.00000;0.00000;1.00277;1.22017;0.00000;AgentBB@22;AgentBB@23;0.0;0.0;0.0;0.0;party5_utility.xml;party8_utility.xml
1.728;152;;180rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;Caduceus@24;Caduceus@25;1.0;1.0;1.0;1.0;party7_utility.xml;party9_utility.xml
0.566;92;;180rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;AgentBB@26;Caduceus@27;1.0;1.0;1.0;1.0;party7_utility.xml;party9_utility.xml
0.588;92;;180rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;Caduceus@28;AgentBB@29;1.0;1.0;1.0;1.0;party7_utility.xml;party9_utility.xml
