sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
2.344;61;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;AgentYK@2;AgentYK@3;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.760;93;;180rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;AgentBB@4;AgentYK@5;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
1.766;101;;180rounds;Yes;No;2;0.47014;0.90833;0.07103;0.47473;1.37847;AgentYK@6;AgentBB@7;0.9083333333333333;0.4701382343192213;0.9083333333333333;0.4701382343192213;party1_utility.xml;party2_utility.xml
0.186;94;;180rounds;Yes;No;2;0.69167;0.71925;0.18763;0.22918;1.41092;AgentBB@8;AgentBB@9;0.6916666666666667;0.7192537008828521;0.6916666666666667;0.7192537008828521;party1_utility.xml;party2_utility.xml
2.315;57;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;AgentYK@10;AgentYK@11;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.794;93;;180rounds;Yes;No;2;0.75500;0.75636;0.12465;0.17479;1.51136;AgentBB@12;AgentYK@13;0.755;0.7563648562734724;0.755;0.7563648562734724;party1_utility.xml;party2_utility.xml
1.695;93;;180rounds;Yes;No;2;0.51611;0.90333;0.07481;0.42910;1.41944;AgentYK@14;AgentBB@15;0.9033333333333333;0.5161097156742358;0.9033333333333333;0.5161097156742358;party1_utility.xml;party2_utility.xml
0.143;93;;180rounds;Yes;No;2;0.65840;0.66000;0.22325;0.29768;1.31840;AgentBB@16;AgentBB@17;0.6599999999999999;0.6584025225066684;0.6599999999999999;0.6584025225066684;party1_utility.xml;party2_utility.xml
1.817;56;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;AgentYK@18;AgentYK@19;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.692;93;;180rounds;Yes;No;2;0.77250;0.86383;0.04218;0.06594;1.63633;AgentBB@20;AgentYK@21;0.7725;0.863825759227598;0.7725;0.863825759227598;party1_utility.xml;party2_utility.xml
1.610;94;;180rounds;Yes;No;2;0.69002;0.87833;0.00608;0.25616;1.56835;AgentYK@22;AgentBB@23;0.8783333333333334;0.6900190691355816;0.8783333333333334;0.6900190691355816;party1_utility.xml;party2_utility.xml
0.140;93;;180rounds;Yes;No;2;0.59339;0.69167;0.21090;0.34792;1.28506;AgentBB@24;AgentBB@25;0.6916666666666668;0.5933946641498276;0.6916666666666668;0.5933946641498276;party1_utility.xml;party2_utility.xml
2.003;58;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;AgentYK@26;AgentYK@27;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.668;94;;180rounds;Yes;No;2;0.76209;0.81500;0.06766;0.16915;1.57709;AgentBB@28;AgentYK@29;0.815;0.7620935529492956;0.815;0.7620935529492956;party1_utility.xml;party2_utility.xml
1.662;95;;180rounds;Yes;No;2;0.54056;0.90333;0.08511;0.40565;1.44389;AgentYK@30;AgentBB@31;0.9033333333333333;0.540561181084517;0.9033333333333333;0.540561181084517;party1_utility.xml;party2_utility.xml
0.128;94;;180rounds;Yes;No;2;0.57266;0.70583;0.20862;0.36460;1.27850;AgentBB@32;AgentBB@33;0.7058333333333334;0.5726618414809986;0.7058333333333334;0.5726618414809986;party1_utility.xml;party2_utility.xml
2.059;62;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;AgentYK@34;AgentYK@35;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.708;93;;180rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;AgentBB@36;AgentYK@37;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
1.697;99;;180rounds;Yes;No;2;0.68493;0.88167;0.00000;0.26211;1.56660;AgentYK@38;AgentBB@39;0.8816666666666667;0.6849303286683233;0.8816666666666667;0.6849303286683233;party1_utility.xml;party2_utility.xml
0.126;93;;180rounds;Yes;No;2;0.47329;0.74083;0.23514;0.45741;1.21413;AgentBB@40;AgentBB@41;0.7408333333333333;0.4732921836694951;0.7408333333333333;0.4732921836694951;party1_utility.xml;party2_utility.xml
2.172;56;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;AgentYK@42;AgentYK@43;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.693;93;;180rounds;Yes;No;2;0.73764;0.81500;0.06334;0.19327;1.55264;AgentBB@44;AgentYK@45;0.8150000000000002;0.7376420875390144;0.8150000000000002;0.7376420875390144;party1_utility.xml;party2_utility.xml
1.791;93;;180rounds;Yes;No;2;0.54227;0.91167;0.07924;0.40653;1.45394;AgentYK@46;AgentBB@47;0.9116666666666667;0.5422699184244845;0.9116666666666667;0.5422699184244845;party1_utility.xml;party2_utility.xml
0.181;94;;180rounds;Yes;No;2;0.70917;0.87605;0.08086;0.09224;1.58522;AgentBB@48;AgentBB@49;0.7091666666666666;0.8760514919327387;0.7091666666666666;0.8760514919327387;party1_utility.xml;party2_utility.xml
