sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0.256;99;;180rounds;Yes;No;2;0.78500;0.88030;0.02381;0.04826;1.66530;ParsCat@278;ParsCat@279;0.7850000000000001;0.8803024977828533;0.7850000000000001;0.8803024977828533;party1_utility.xml;party2_utility.xml
0.183;136;;180rounds;Yes;No;2;0.73828;0.87833;0.00000;0.21194;1.61662;SYAgent@280;ParsCat@281;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
0.749;94;;180rounds;Yes;No;2;0.74250;0.78815;0.12351;0.14671;1.53065;ExampleAgent@282;ParsCat@283;0.7425;0.7881510923302149;0.7425;0.7881510923302149;party1_utility.xml;party2_utility.xml
0.147;95;;180rounds;Yes;No;2;0.78500;0.88030;0.02381;0.04826;1.66530;ParsCat@284;SYAgent@285;0.7850000000000001;0.8803024977828533;0.7850000000000001;0.8803024977828533;party1_utility.xml;party2_utility.xml
0.079;124;;180rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;SYAgent@286;SYAgent@287;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
0.622;93;;180rounds;Yes;No;2;0.77250;0.91209;0.01483;0.02068;1.68459;ExampleAgent@288;SYAgent@289;0.7725;0.9120887338395958;0.7725;0.9120887338395958;party1_utility.xml;party2_utility.xml
0.728;99;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;ParsCat@290;ExampleAgent@291;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;party1_utility.xml;party2_utility.xml
0.647;102;;180rounds;Yes;No;2;0.53992;0.84000;0.14239;0.39252;1.37992;SYAgent@292;ExampleAgent@293;0.8400000000000001;0.5399212248759521;0.8400000000000001;0.5399212248759521;party1_utility.xml;party2_utility.xml
1.184;93;;180rounds;Yes;No;2;0.43512;0.60167;0.37524;0.52640;1.03679;ExampleAgent@294;ExampleAgent@295;0.6016666666666667;0.4351196678640872;0.6016666666666667;0.4351196678640872;party1_utility.xml;party2_utility.xml
